Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
AB1 1SN,57.145035,-2.10991,393448,806021,NJ934060,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1SP,57.144397,-2.109759,393457,805950,NJ934059,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1SQ,57.143867,-2.110038,393440,805891,NJ934058,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1SR,57.144819,-2.110306,393424,805997,NJ934059,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1SS,57.144882,-2.110322,393423,806004,NJ934060,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1ST,57.145743,-2.112027,393320,806100,NJ933061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1SU,57.145976,-2.112193,393310,806126,NJ933061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 03","Large urban area",
AB1 1SY,57.146795,-2.110625,393405,806217,NJ934062,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1TA,57.146787,-2.109799,393455,806216,NJ934062,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1TB,57.146787,-2.109799,393455,806216,NJ934062,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1TD,57.146185,-2.109781,393456,806149,NJ934061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1TE,57.145943,-2.109598,393467,806122,NJ934061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1TF,57.145969,-2.109912,393448,806125,NJ934061,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1994-06-01,1996-06-01,"","",,,"","","City Centre West - 04","Large urban area",
AB1 1TH,57.145504,-2.107829,393574,806073,NJ935060,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
AB1 1TJ,57.145145,-2.106787,393637,806033,NJ936060,"","Aberdeen City","Midstocket/Rosemount", S12000033,S13002482,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","City Centre West - 05","Large urban area",
